Trade_Num,Datetime,Timestamp,Block,Price,Lower,Upper,Holder_PNL,LP_PNL,IL,Fees,Fee-IL,AMM_PNL,Holder_PNL(%),LP_PNL(%),IL(%),Fees(%),Fee-IL(%),AMM_PNL(%)
9,2021-10-29 12:00:01,1635480001.0,13509852.0,4372.033456751849,4221.666573316442,4759.887212326988,,,,,,,,,,,,
,2021-11-19 12:00:00,1637294400.0,13643443.0,3995.7556988362794,4221.666573316442,4759.887212326988,-7833.638379561424,-10487.375155049798,2653.7367754883744,8493.674805556964,5839.93803006859,-1993.700349492834,-7.833638379561424,-10.487375155049797,2.6537367754883743,8.493674805556964,5.83993803006859,-1.993700349492834
10,2021-11-19 12:00:01,1637294401.0,13643444.0,3995.7556988362794,3633.6493439117717,4196.413670962556,,,,,,,,,,,,
,2021-11-26 12:00:00,1637899200.0,13687516.0,4445.655769788745,3633.6493439117717,4196.413670962556,4901.582202451595,1079.6779425866262,3821.9042598649685,1221.8871220240499,-2600.0171378409186,2301.565064610676,4.9015822024515945,1.079677942586626,3.8219042598649686,1.22188712202405,-2.600017137840919,2.301565064610676
11,2021-11-26 12:00:01,1637899201.0,13687517.0,4445.655769788745,4221.666573316442,4934.356026039376,,,,,,,,,,,,
,2021-12-14 12:00:00,1639454400.0,13801035.0,3772.114057675687,4221.666573316442,4934.356026039376,-13038.22423157905,-18625.821209505943,5587.596977926893,4523.7870241490855,-1063.809953777807,-14102.034185356857,-13.03822423157905,-18.625821209505943,5.587596977926893,4.523787024149086,-1.0638099537778072,-14.102034185356857
12,2021-12-14 12:00:01,1639454401.0,13801036.0,3772.114057675687,3301.055519927756,4146.360131394691,,,,,,,,,,,,
,2022-01-21 12:00:00,1642737600.0,14046657.0,2825.6828334172133,3301.055519927756,4146.360131394691,-12057.352972810899,-25429.69891558698,13372.345942776083,7181.006877578338,-6191.339065197744,-18248.692038008645,-12.0573529728109,-25.429698915586982,13.372345942776082,7.181006877578339,-6.191339065197744,-18.248692038008645
13,2022-01-21 12:00:01,1642737601.0,14046658.0,2825.6828334172133,2387.5278799572216,2963.1345318528333,,,,,,,,,,,,
,2022-02-10 12:00:00,1644465600.0,14176050.0,3183.700125104349,2387.5278799572216,2963.1345318528333,2764.269470444706,524.3350415963214,2239.9344288483844,12904.070198734564,10664.13576988618,13428.405240330885,2.764269470444706,0.5243350415963214,2.2399344288483842,12.904070198734564,10.66413576988618,13.428405240330886
14,2022-02-10 12:00:01,1644465601.0,14176051.0,3183.700125104349,2963.1345318528333,3590.308285219262,,,,,,,,,,,,
,2022-02-22 12:00:00,1645502400.0,14253578.0,2518.7324928316225,2963.1345318528333,3590.308285219262,-14364.897738025276,-21846.918519603263,7482.020781577987,1688.0648570975677,-5793.955924480419,-20158.853662505695,-14.364897738025277,-21.846918519603264,7.482020781577986,1.6880648570975676,-5.793955924480419,-20.158853662505695
15,2022-02-22 12:00:01,1645502401.0,14253579.0,2518.7324928316225,2117.559974440852,2757.298155927951,,,,,,,,,,,,
,2022-03-01 12:00:00,1646107200.0,14298815.0,2912.8981879408793,2117.559974440852,2757.298155927951,4904.111536417622,1450.5172509457043,3453.594285471918,2949.792654136301,-503.801631335617,4400.309905082006,4.904111536417622,1.4505172509457043,3.453594285471918,2.9497926541363007,-0.503801631335617,4.400309905082006
16,2022-03-01 12:00:01,1646107201.0,14298816.0,2912.8981879408793,2824.2704157540506,3505.1708784071366,,,,,,,,,,,,
