datetime,timestamp,block,tick,lower_tick,upper_tick,price,lower_price,upper_price,event,holder_value,holder_diff,holder_cum_pnl,holder_cum_pnl(%),lp_amount_0,lp_amount_1,lp_total_value,lp_diff,lp_cum_pnl,lp_cum_pnl(%),fee_0,fee_1,fee_total_value,fee_diff,cum_fee,cum_fee(%),equity,amm_pnl(%)
2021-06-01 16:00:00,1622534400.0,12547343.0,197514.0,,,2645.4821634469454,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-01 20:00:00,1622548800.0,12548406.0,197599.0,,,2623.091977638642,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-02 00:00:00,1622563200.0,12549484.0,197822.0,,,2565.247284049892,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-02 04:00:00,1622577600.0,12550639.0,197924.0,,,2539.216048274278,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-02 08:00:00,1622592000.0,12551688.0,197534.0,,,2640.1967505608945,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-02 12:00:00,1622606400.0,12552727.0,197609.0,,,2620.470327784699,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-02 16:00:00,1622620800.0,12553797.0,197333.0,,,2693.7989224620947,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-02 20:00:00,1622635200.0,12554915.0,197334.0,,,2693.529569505144,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-03 00:00:00,1622649600.0,12556037.0,196992.0,,,2787.2368570991225,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-03 04:00:00,1622664000.0,12557093.0,197086.0,,,2761.160883491504,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-03 08:00:00,1622678400.0,12558203.0,197254.0,,,2715.1631433226203,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-03 12:00:00,1622692800.0,12559259.0,197251.0,,,2715.9777737232266,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-03 16:00:00,1622707200.0,12560340.0,196859.0,,,2824.552842795626,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-03 20:00:00,1622721600.0,12561405.0,196890.0,,,2815.81072336739,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-04 00:00:00,1622736000.0,12562436.0,196996.0,,,2786.1222410242335,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-04 04:00:00,1622750400.0,12563358.0,196968.0,,,2793.9339239742158,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-04 08:00:00,1622764800.0,12564592.0,196739.0,,,2858.6499455552075,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-04 12:00:00,1622779200.0,12565687.0,197104.0,,,2756.195512340259,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-04 16:00:00,1622793600.0,12566722.0,197603.0,,,2622.0430031043315,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-04 20:00:00,1622808000.0,12567834.0,197590.0,,,2625.4537049520013,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-05 00:00:00,1622822400.0,12568963.0,197483.0,,,2653.695471545461,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-05 04:00:00,1622836800.0,12570049.0,197384.0,,,2680.096204711416,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-05 08:00:00,1622851200.0,12571125.0,197333.0,,,2693.7989224620947,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-05 12:00:00,1622865600.0,12572154.0,197070.0,,,2765.582055844903,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-05 16:00:00,1622880000.0,12573272.0,196981.0,,,2790.3043510821885,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-05 20:00:00,1622894400.0,12574317.0,197526.0,,,2642.3096473643027,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-06 00:00:00,1622908800.0,12575375.0,197508.0,,,2647.069849620252,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-06 04:00:00,1622923200.0,12576463.0,197635.0,,,2613.666294204869,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-06 08:00:00,1622937600.0,12577550.0,197618.0,,,2618.113083269092,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-06 12:00:00,1622952000.0,12578521.0,197402.0,,,2675.2766114537394,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-06 16:00:00,1622966400.0,12579735.0,197371.0,,,2683.582421019279,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-06 20:00:00,1622980800.0,12580815.0,197304.0,,,2701.6218860104013,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-07 00:00:00,1622995200.0,12581847.0,197253.0,,,2715.434659636953,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-07 04:00:00,1623009600.0,12582991.0,197367.0,,,2684.6560150133664,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-07 08:00:00,1623024000.0,12584082.0,197284.0,,,2707.0302659451636,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-07 12:00:00,1623038400.0,12585099.0,197057.0,,,2769.179470462659,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-07 16:00:00,1623052800.0,12586203.0,197085.0,,,2761.4369995798534,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-07 20:00:00,1623067200.0,12587230.0,196908.0,,,2810.747075893327,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-08 00:00:00,1623081600.0,12588319.0,197021.0,,,2779.165982175251,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-08 04:00:00,1623096000.0,12589417.0,197213.0,,,2726.317605519173,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-08 08:00:00,1623110400.0,12590503.0,197746.0,,,2584.816453622738,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-08 12:00:00,1623124800.0,12591599.0,198126.0,,,2488.4409774493047,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-08 16:00:00,1623139200.0,12592651.0,198032.0,,,2511.94142671325,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-08 20:00:00,1623153600.0,12593742.0,197967.0,,,2528.321404260438,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-09 00:00:00,1623168000.0,12594813.0,198589.0,,,2375.858190906262,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-09 04:00:00,1623182400.0,12595903.0,198081.0,,,2499.6636327615865,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2021-06-09 08:00:00,1623196800.0,12596997.0,198026.0,,,2513.4489684107352,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
