Trade_Num,Datetime,Timestamp,Block,Price,Lower,Upper,Holder_PNL,LP_PNL,IL,Fees,Fee-IL,AMM_PNL,Holder_PNL(%),LP_PNL(%),IL(%),Fees(%),Fee-IL(%),AMM_PNL(%)
1,2021-08-10 12:00:00,1628568000.0,12995113.0,3116.6077373818075,2519.992110976476,4171.311824848243,,,,,,,,,,,,
,2021-10-29 12:00:00,1635480000.0,13509851.0,4372.033456751849,2519.992110976476,4171.311824848243,23107.701824365853,9000.50038896437,14107.201435401483,17181.22900587572,3074.027570474238,26181.72939484009,23.107701824365854,9.00050038896437,14.107201435401482,17.18122900587572,3.074027570474238,26.18172939484009
2,2021-10-29 12:00:01,1635480001.0,13509852.0,4372.033456751849,3744.3048251440473,5698.568333172352,,,,,,,,,,,,
,2022-01-06 12:00:00,1641441600.0,13949605.0,3452.988272235428,3744.3048251440473,5698.568333172352,-16568.348067206694,-23510.451867545416,6942.103800338722,11571.719625704063,4629.615825365341,-11938.732241841353,-16.568348067206692,-23.510451867545413,6.942103800338722,11.571719625704063,4.629615825365341,-11.938732241841354
3,2022-01-06 12:00:01,1641441601.0,13949606.0,3452.988272235428,2168.9935767521238,4564.121590840125,,,,,,,,,,,,
,2022-05-12 12:00:00,1652328000.0,14758902.0,1968.2958647894086,2168.9935767521238,4564.121590840125,-18942.120538015646,-38649.508592324,19707.38805430835,15009.4722914565,-4697.91576285185,-23640.036300867498,-18.942120538015644,-38.649508592324,19.70738805430835,15.0094722914565,-4.697915762851849,-23.640036300867497
4,2022-05-12 12:00:01,1652328001.0,14758903.0,1968.2958647894086,994.3184691448706,2963.1345318528333,,,,,,,,,,,,
,2022-06-24 16:00:01,1656057601.0,15016857.0,1139.5067043871172,994.3184691448706,2963.1345318528333,-14880.911545659095,-25805.545653574118,10924.634107915022,6982.026479816155,-3942.6076280988673,-18823.519173757963,-14.880911545659094,-25.805545653574118,10.924634107915024,6.982026479816155,-3.9426076280988673,-18.823519173757962
